ICAO	STATION	REGION	COUNTRY	ELEVATION	LATITUDE	LONGITUDE	TIMESTAMP	TEMPERATURE	DEWPOINT	HUMIDITY	VISIBILITY_QUAL	VISIBILITY	WIND_DIR	WIND_DEG	WIND_SPEED	GUST_SPEED
LGKR	Kerkyra Airport		Greece	2.0	39.617	19.917	Tue Apr 06 09:20:00 PDT 2004	16.0	10.0	67	BEYOND	10000.0	SSE	160	3.6011111111111114	3.6011111111111114
LGAL	Alexandroupoli Airport		Greece	7.0	40.85	25.917	Tue Apr 06 09:20:00 PDT 2004	14.0	7.0	62	BEYOND	10000.0	N	0	0.0	0.0
LGEL	Elefsis Airport		Greece	44.0	38.067	23.55	Tue Apr 06 09:20:00 PDT 2004	16.0	8.0	59	BEYOND	10000.0	S	190	5.144444444444445	5.144444444444445
LGIR	Heraklion Airport		Greece	37.0	35.333	25.183	Tue Apr 06 09:20:00 PDT 2004	17.0	10.0	63	BEYOND	10000.0	ENE	70	1.5433333333333334	1.5433333333333334
LGSM	Samos Airport		Greece	2.0	37.7	26.917	Tue Apr 06 09:20:00 PDT 2004	16.0	9.0	63	BEYOND	10000.0	S	190	5.144444444444445	5.144444444444445
LGPZ	Aktion Airport		Greece	4.0	38.617	20.767	Tue Apr 06 09:20:00 PDT 2004	15.0	13.0	88	AT	9000.0	W	260	5.144444444444445	5.144444444444445
LGHI	Chios Airport		Greece	5.0	38.333	26.133	Tue Apr 06 09:00:00 PDT 2004	16.0	11.0	72	BEYOND	10000.0	S	180	4.630000000000001	4.630000000000001
LGSR	Santorini Island		Greece	38.0	36.4	25.483	Tue Apr 06 08:50:00 PDT 2004	17.0	14.0	82	BEYOND	10000.0	WSW	240	10.28888888888889	10.28888888888889
LGMT	Mytilini Airport		Greece	3.0	39.067	26.6	Tue Apr 06 09:20:00 PDT 2004	16.0	8.0	59	BEYOND	10000.0	N	0	0.0	0.0
LGTS	Thessaloniki Airport		Greece	8.0	40.517	22.967	Tue Apr 06 09:20:00 PDT 2004	17.0	10.0	63	BEYOND	10000.0	S	170	5.144444444444445	5.144444444444445
LGNX	Cyclades Islands, Naxos Airport		Greece	3.0	37.08	25.367	Tue Apr 06 03:00:00 PDT 2004	17.0	10.0	63	BEYOND	10000.0	S	190	6.173333333333334	6.173333333333334
LGKF	Kefalhnia Airport		Greece	19.0	38.117	20.5	Tue Apr 06 09:00:00 PDT 2004	16.0	12.0	77	BEYOND	10000.0	N	0	0.0	0.0
LGSA	Souda Airport		Greece	146.0	35.483	24.117	Tue Apr 06 09:20:00 PDT 2004	17.0	9.0	59	BEYOND	10000.0	WNW	290	7.716666666666667	12.861111111111112
LGKO	Kos Airport		Greece	129.0	36.783	27.067	Tue Apr 06 09:20:00 PDT 2004	14.0	9.0	71	BEYOND	10000.0	S	190	3.086666666666667	3.086666666666667
LGMK	Mikonos Island, Mikonos Airport		Greece	123.0	37.436	25.346	Tue Apr 06 09:00:00 PDT 2004	15.0	11.0	77	BEYOND	10000.0	S	180	4.630000000000001	4.630000000000001
LGLM	Limnos Airport		Greece	5.0	39.917	25.233	Tue Apr 06 09:20:00 PDT 2004	15.0	11.0	77	BEYOND	10000.0	S	170	5.144444444444445	5.144444444444445
BGJN	Jacobshavn Lufthavn		Greenland	29.0	69.233	-51.067	Tue Apr 06 08:50:00 PDT 2004	-9.0	-14.0	67	BEYOND	10000.0	SSE	150	6.687777777777779	6.687777777777779
BGGH	Godthaab / Nuuk		Greenland	80.0	64.167	-51.75	Tue Apr 06 08:50:00 PDT 2004	-3.0	-4.0	93	AT	2500.0	N	0	4.630000000000001	4.630000000000001
BGBW	Narsarsuaq		Greenland	34.0	61.167	-45.417	Tue Apr 06 08:50:00 PDT 2004	2.0	2.0	100	BEYOND	10000.0	WSW	250	1.028888888888889	1.028888888888889
BGKK	Kulusuk Lufthavn		Greenland	35.0	65.583	-37.15	Tue Apr 06 08:50:00 PDT 2004	-1.0	-9.0	55	BEYOND	10000.0	E	90	6.687777777777779	6.687777777777779
BGSF	Sdr Stroemfjord		Greenland	50.0	67.017	-50.7	Tue Apr 06 08:50:00 PDT 2004	-9.0	-12.0	79	BEYOND	10000.0	E	80	1.028888888888889	1.028888888888889
BGTL	Thule A. B.		Greenland	77.0	76.533	-68.75	Tue Apr 06 08:55:00 PDT 2004	-21.0	-24.0	77	BEYOND	10000.0	E	100	4.115555555555556	4.115555555555556
BGCO	Constable Pynt		Greenland	14.0	70.75	-22.65	Tue Apr 06 07:50:00 PDT 2004	-10.0	-11.0	92	BEYOND	10000.0	SSW	210	1.028888888888889	1.028888888888889
TGPY	Point Salines Airport		Grenada	6.0	12.0	-61.783	Tue Apr 06 08:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	ESE	120	8.231111111111112	8.231111111111112
TFFR	Le Raizet, Guadeloupe		Guadeloupe	11.0	16.267	-61.517	Tue Apr 06 09:00:00 PDT 2004	25.0	23.0	88	BEYOND	10000.0	SSE	160	3.6011111111111114	3.6011111111111114
MGSJ	San Jose		Guatemala	2.0	13.917	-90.817	Tue Apr 06 06:00:00 PDT 2004	23.0	22.0	94	AT	6000.0	N	0	0.0	0.0
MGPB	Puerto Barrios		Guatemala	1.0	15.717	-88.6	Tue Apr 06 06:00:00 PDT 2004	25.0	24.0	94	AT	9000.0	N	0	0.0	0.0
MGHT	Huehuetenango		Guatemala	1901.0	15.317	-91.467	Tue Apr 06 06:00:00 PDT 2004	10.0	10.0	100	AT	100.0	N	0	0.0	0.0
MGGT	Guatemala Aeropuertola Aurora		Guatemala	1489.0	14.583	-90.517	Tue Apr 06 06:00:00 PDT 2004	19.0	16.0	82	AT	6000.0	N	0	0.0	0.0
FGSL	Malabo/Fernando Poo		Equatorial Guinea	56.0	3.75	8.767	Tue Apr 06 07:00:00 PDT 2004	28.0	21.0	65	AT	9000.0	N	0	0.0	0.0
GUCY	Conakry / Gbessia		Guinea	26.0	9.567	-13.617	Tue Apr 06 09:00:00 PDT 2004	32.0	24.0	62	BEYOND	10000.0	SW	220	4.115555555555556	4.115555555555556
AYPY	Moresby		Papua New Guinea	38.0	-9.433	147.217	Tue Apr 06 04:30:00 PDT 2004	24.0	24.0	100	AT	1000.0	N	0	0.0	0.0
MHCA	Catacamas		Honduras	442.0	14.9	-85.933	Tue Apr 06 09:00:00 PDT 2004	30.0	19.0	51	BEYOND	10000.0	ENE	60	3.6011111111111114	3.6011111111111114
MHCH	Choluteca		Honduras	48.0	13.3	-87.183	Tue Apr 06 09:00:00 PDT 2004	33.0	17.0	38	BEYOND	10000.0	N	10	6.173333333333334	6.173333333333334
MHNO	Guanaja		Honduras	2.0	16.467	-86.067	Tue Apr 06 09:00:00 PDT 2004	29.0	19.0	54	BEYOND	10000.0	WNW	290	1.028888888888889	1.028888888888889
MHAM	Amapala		Honduras	5.0	13.267	-87.65	Tue Apr 06 09:00:00 PDT 2004	33.0	22.0	52	BEYOND	10000.0	N	0	0.0	0.0
MHSR	Santa Rosa De Copan		Honduras	1079.0	14.783	-88.783	Tue Apr 06 09:00:00 PDT 2004	25.0	19.0	69	AT	6000.0	E	100	2.5722222222222224	2.5722222222222224
MHLC	La Ceiba Airport		Honduras	3.0	15.733	-86.867	Tue Apr 06 09:00:00 PDT 2004	29.0	26.0	83	BEYOND	10000.0	N	0	2.5722222222222224	2.5722222222222224
MHTE	Tela		Honduras	3.0	15.717	-87.483	Tue Apr 06 09:00:00 PDT 2004	29.0	24.0	74	BEYOND	10000.0	E	90	1.028888888888889	1.028888888888889
MHLE	La Esperanza		Honduras	1100.0	14.317	-88.15	Tue Apr 06 09:00:00 PDT 2004	22.0	17.0	73	BEYOND	10000.0	N	350	2.057777777777778	2.057777777777778
MHSC	Coronel Enrique Soto Cano Air Base		Honduras	628.0	14.383	-87.617	Tue Apr 06 08:55:00 PDT 2004	29.0	16.0	45	BEYOND	10000.0	N	359	3.086666666666667	3.086666666666667
MHTG	Tegucigalpa		Honduras	994.0	14.05	-87.217	Tue Apr 06 09:00:00 PDT 2004	26.0	16.0	53	BEYOND	10000.0	N	350	1.028888888888889	1.028888888888889
MHRO	Roatan		Honduras	5.0	16.317	-86.517	Tue Apr 06 09:00:00 PDT 2004	29.0	23.0	69	BEYOND	10000.0	E	100	7.202222222222223	7.202222222222223
MHLM	La Mesa San Pedro Sula		Honduras	31.0	15.45	-87.933	Tue Apr 06 09:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	N	10	1.5433333333333334	1.5433333333333334
MHYR	Yoro		Honduras	670.0	15.167	-87.117	Tue Apr 06 09:00:00 PDT 2004	27.0	19.0	61	BEYOND	10000.0	ESE	120	1.028888888888889	1.028888888888889
MHPL	Puerto Lempira		Honduras	13.0	15.217	-83.8	Tue Apr 06 09:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	ENE	60	2.057777777777778	2.057777777777778
VHHH	Hong Kong Inter-National Airport		Hong Kong	5.0	22.333	114.183	Tue Apr 06 09:00:00 PDT 2004	23.0	21.0	88	AT	7000.0	E	80	6.173333333333334	6.173333333333334
LHUD	Szeged		Hungary	82.0	46.25	20.1	Tue Apr 06 09:15:00 PDT 2004	13.0	6.0	62	BEYOND	10000.0	SSE	160	3.6011111111111114	3.6011111111111114
LHBP	Budapest / Ferihegy		Hungary	151.0	47.433	19.267	Tue Apr 06 09:30:00 PDT 2004	10.0	6.0	76	BEYOND	10000.0	SSW	210	3.6011111111111114	3.6011111111111114
LHTA	Taszar		Hungary	160.0	46.4	17.917	Tue Apr 06 08:45:00 PDT 2004	8.0	7.0	93	BEYOND	10000.0	E	100	4.115555555555556	4.115555555555556
LHDC	Debrecen		Hungary	108.0	47.483	21.6	Tue Apr 06 09:15:00 PDT 2004	13.0	3.0	50	BEYOND	10000.0	SSW	200	2.057777777777778	2.057777777777778
LHSN	Szolnok		Hungary	89.0	47.117	20.233	Tue Apr 06 08:45:00 PDT 2004	13.0	6.0	62	BEYOND	10000.0	S	170	3.086666666666667	3.086666666666667
LHPP	Pecs / Pogany		Hungary	201.0	46.1	18.233	Tue Apr 06 08:45:00 PDT 2004	9.0	8.0	93	AT	5000.0	E	100	3.086666666666667	3.086666666666667
LHSA	Azentkilyszabadja		Hungary	303.0	47.067	17.983	Tue Apr 06 08:45:00 PDT 2004	7.0	6.0	93	AT	8000.0	S	180	5.144444444444445	5.144444444444445
LHKE	Kecskemet		Hungary	113.0	46.917	19.75	Tue Apr 06 08:45:00 PDT 2004	12.0	4.0	58	BEYOND	10000.0	SSW	200	5.144444444444445	5.144444444444445
BIRK	Reykjavik		Iceland	54.0	64.133	-21.9	Tue Apr 06 09:00:00 PDT 2004	3.0	-6.0	52	BEYOND	10000.0	N	0	5.658888888888889	5.658888888888889
BIAR	Akureyri		Iceland	23.0	65.683	-18.083	Tue Apr 06 09:00:00 PDT 2004	0.0	-6.0	64	BEYOND	10000.0	N	10	7.202222222222223	7.202222222222223
BIKF	Keflavikurflugvollur		Iceland	52.0	63.967	-22.6	Tue Apr 06 09:30:00 PDT 2004	3.0	-4.0	60	BEYOND	10000.0	NNE	20	4.630000000000001	4.630000000000001
BIEG	Egilsstadir		Iceland	23.0	65.283	-14.4	Tue Apr 06 09:00:00 PDT 2004	1.0	-6.0	59	BEYOND	10000.0	WNW	300	6.173333333333334	11.317777777777778
VOTV	Thiruvananthapuram		India	4.0	8.467	76.95	Tue Apr 06 06:40:00 PDT 2004	27.0	24.0	83	AT	6000.0	 	0	0	0
VILK	Lucknow / Amausi		India	122.0	26.75	80.883	Tue Apr 06 06:30:00 PDT 2004	34.0	15.0	31	AT	5000.0	N	0	0.0	0.0
VEPT	Patna		India	51.0	25.6	85.1	Tue Apr 06 04:50:00 PDT 2004	33.0	20.0	45	AT	4000.0	N	0	0.0	0.0
FJDG	Diego Garcia		British Indian Ocean Territory	1.0	-7.3	72.4	Tue Apr 06 09:12:00 PDT 2004	27.0	26.0	94	BEYOND	10000.0	SE	140	3.6011111111111114	3.6011111111111114
VOTR	Tiruchchirapalli		India	85.0	10.767	78.717	Tue Apr 06 06:40:00 PDT 2004	29.0	22.0	65	AT	6000.0	SSW	210	2.5722222222222224	2.5722222222222224
VIBN	Varanasi / Babatpur		India	81.0	25.45	82.867	Tue Apr 06 06:30:00 PDT 2004	34.0	11.0	24	AT	4000.0	N	0	0.0	0.0
VAAH	Ahmadabad		India	55.0	23.067	72.633	Tue Apr 06 06:40:00 PDT 2004	35.0	5.0	15	AT	4000.0	W	260	1.5433333333333334	1.5433333333333334
VOHY	Hyderabad Airport		India	530.0	17.45	78.467	Tue Apr 06 06:40:00 PDT 2004	30.0	16.0	42	AT	6000.0	ESE	120	2.5722222222222224	2.5722222222222224
VECC	Calcutta / Dum Dum		India	4.0	22.65	88.45	Tue Apr 06 08:50:00 PDT 2004	25.0	19.0	69	AT	3000.0	SE	130	2.5722222222222224	2.5722222222222224
VANP	Nagpur Sonegaon		India	308.0	21.1	79.05	Tue Apr 06 06:40:00 PDT 2004	34.0	9.0	21	AT	6000.0	NNW	340	2.057777777777778	2.057777777777778
VOMM	Madras / Minambakkam		India	10.0	13.0	80.183	Tue Apr 06 06:40:00 PDT 2004	30.0	23.0	65	AT	6000.0	SE	140	5.144444444444445	5.144444444444445
VABB	Bombay / Santacruz		India	8.0	19.117	72.85	Tue Apr 06 06:40:00 PDT 2004	28.0	22.0	69	AT	4000.0	WNW	290	4.630000000000001	4.630000000000001
VIAR	Amritsar		India	229.0	31.633	74.867	Tue Apr 06 02:30:00 PDT 2004	37.0	17.0	30	AT	7000.0	NW	320	2.5722222222222224	2.5722222222222224
VIDP	New Delhi / Palam		India	220.0	28.567	77.117	Tue Apr 06 09:00:00 PDT 2004	32.0	13.0	31	AT	2500.0	N	0	0.0	0.0
WRRR	Denpasar / Ngurah-Rai		Indonesia	1.0	-8.75	115.167	Tue Apr 06 09:00:00 PDT 2004	28.0	25.0	83	BEYOND	10000.0	N	0	0.0	0.0
WRSJ	Surabaya / Juanda		Indonesia	3.0	-7.367	112.767	Tue Apr 06 07:00:00 PDT 2004	29.0	25.0	79	BEYOND	10000.0	E	90	4.115555555555556	4.115555555555556
WIIH	Jakarta Halim Perdanakusuma		Indonesia	30.0	-6.25	106.9	Tue Apr 06 08:00:00 PDT 2004	28.0	25.0	83	AT	5000.0	N	0	0.0	0.0
WAAA	Ujung Pandang / Hasanuddin		Indonesia	14.0	-5.067	119.55	Tue Apr 06 09:00:00 PDT 2004	25.0	24.0	94	AT	8000.0	N	0	0.0	0.0
WIII	Jakarta / Soekarno-Hatta		Indonesia	8.0	-6.117	106.65	Mon Apr 05 17:00:00 PDT 2004	25.0	23.0	88	AT	4000.0	N	0	0.0	0.0
OIFS	Shahre-Kord		Iran, Islamic Republic of	2078.0	32.333	50.85	Tue Apr 06 00:00:00 PDT 2004	11.0	-10.0	22	BEYOND	10000.0	SSW	210	8.0	8.0
OINR	Ramsar		Iran, Islamic Republic of	-23.0	36.9	50.667	Mon Apr 05 23:45:00 PDT 2004	10.0	4.0	66	BEYOND	10000.0	ENE	60	3.0	3.0
OING	Gorgan		Iran, Islamic Republic of	155.0	36.817	54.467	Mon Apr 05 23:50:00 PDT 2004	10.0	6.0	76	BEYOND	10000.0	NNW	330	2.0	2.0
OIYY	Yazd		Iran, Islamic Republic of	1238.0	31.9	54.4	Mon Apr 05 23:50:00 PDT 2004	16.0	4.0	44	BEYOND	10000.0	NW	310	2.0	2.0
OIZI	Iranshahr		Iran, Islamic Republic of	591.0	27.2	60.7	Mon Apr 05 23:50:00 PDT 2004	31.0	11.0	28	BEYOND	10000.0	WNW	290	2.0	2.0
OITK	Khoy		Iran, Islamic Republic of	1107.0	38.55	44.967	Mon Apr 05 23:50:00 PDT 2004	3.0	-11.0	35	BEYOND	10000.0	N	0	0.0	0.0
OIZJ	Jask		Iran, Islamic Republic of	3.0	26.633	57.767	Mon Apr 05 23:50:00 PDT 2004	31.0	22.0	58	BEYOND	10000.0	N	0	8.0	8.0
OIIK	Ghazvin		Iran, Islamic Republic of	1278.0	36.25	50.0	Mon Apr 05 23:50:00 PDT 2004	7.0	-1.0	57	BEYOND	10000.0	N	0	0.0	0.0
OIZH	Zahedan		Iran, Islamic Republic of	1370.0	29.467	60.883	Tue Apr 06 03:50:00 PDT 2004	26.0	4.0	24	BEYOND	10000.0	N	0	6.0	6.0
OISA	Abadeh		Iran, Islamic Republic of	2004.0	31.183	52.667	Mon Apr 05 23:50:00 PDT 2004	14.0	-10.0	18	BEYOND	10000.0	N	0	0.0	0.0
OIAW	Ahwaz		Iran, Islamic Republic of	20.0	31.333	48.667	Tue Apr 06 08:50:00 PDT 2004	23.0	1.0	23	BEYOND	10000.0	N	0	0.0	0.0
OIMB	Birjand		Iran, Islamic Republic of	1491.0	32.867	59.2	Mon Apr 05 23:50:00 PDT 2004	21.0	4.0	32	BEYOND	10000.0	SW	230	7.0	7.0
OICC	Kermanshah		Iran, Islamic Republic of	1320.0	34.267	47.117	Mon Apr 05 23:50:00 PDT 2004	9.0	-2.0	46	BEYOND	10000.0	N	0	0.0	0.0
OITT	Tabriz		Iran, Islamic Republic of	1367.0	38.083	46.283	Tue Apr 06 08:50:00 PDT 2004	7.0	-4.0	45	BEYOND	10000.0	NNW	330	2.0	2.0
OIMM	Mashhad		Iran, Islamic Republic of	989.0	36.267	59.633	Tue Apr 06 07:50:00 PDT 2004	6.0	5.0	93	BEYOND	10000.0	SSE	150	3.0	3.0
OIII	Tehran-Mehrabad		Iran, Islamic Republic of	1204.0	35.683	51.35	Tue Apr 06 03:55:00 PDT 2004	16.0	0.0	33	BEYOND	10000.0	WSW	240	6.0	6.0
OISS	Shiraz		Iran, Islamic Republic of	1486.0	29.533	52.583	Tue Apr 06 01:50:00 PDT 2004	19.0	4.0	37	BEYOND	10000.0	E	90	5.0	5.0
OIGG	Rasht		Iran, Islamic Republic of	-7.0	37.2	49.633	Tue Apr 06 00:00:00 PDT 2004	10.0	2.0	57	BEYOND	10000.0	S	180	2.0	2.0
OIZB	Zabol		Iran, Islamic Republic of	489.0	31.333	61.483	Mon Apr 05 23:50:00 PDT 2004	20.0	5.0	37	AT	3000.0	NNW	330	12.0	12.0
OIMT	Tabas		Iran, Islamic Republic of	710.0	33.6	56.917	Mon Apr 05 23:50:00 PDT 2004	18.0	10.0	59	BEYOND	10000.0	WNW	300	2.0	2.0
OIAA	Abadan		Iran, Islamic Republic of	3.0	30.367	48.25	Mon Apr 05 23:50:00 PDT 2004	19.0	-8.0	15	BEYOND	10000.0	WNW	300	6.0	6.0
OIBB	Bushehr Civ / Afb		Iran, Islamic Republic of	19.0	28.983	50.833	Mon Apr 05 23:50:00 PDT 2004	20.0	10.0	52	BEYOND	10000.0	N	0	6.0	6.0
OISF	Fasa		Iran, Islamic Republic of	1383.0	28.967	53.683	Mon Apr 05 23:50:00 PDT 2004	20.0	11.0	56	BEYOND	10000.0	N	0	0.0	0.0
OIAG	Omidieh		Iran, Islamic Republic of	29.0	30.767	49.667	Mon Apr 05 23:50:00 PDT 2004	20.0	-1.0	24	BEYOND	10000.0	N	0	0.0	0.0
OIAH	Gach Saran Du Gunbadan		Iran, Islamic Republic of	738.0	30.433	50.767	Tue Apr 06 00:00:00 PDT 2004	19.0	10.0	55	BEYOND	10000.0	N	0	0.0	0.0
OIMS	Sabzevar		Iran, Islamic Republic of	941.0	36.217	57.667	Mon Apr 05 23:50:00 PDT 2004	10.0	9.0	93	BEYOND	10000.0	E	80	7.0	7.0
OITR	Orumieh		Iran, Islamic Republic of	1297.0	37.533	45.083	Mon Apr 05 23:50:00 PDT 2004	5.0	-6.0	45	BEYOND	10000.0	S	180	2.0	2.0
OIFM	Esfahan		Iran, Islamic Republic of	1590.0	32.467	51.717	Tue Apr 06 08:50:00 PDT 2004	16.0	-14.0	11	BEYOND	10000.0	N	0	0.0	0.0
OIFK	Kashan		Iran, Islamic Republic of	982.0	33.983	51.45	Mon Apr 05 23:50:00 PDT 2004	11.0	1.0	50	BEYOND	10000.0	N	0	0.0	0.0
OIIS	Semnan		Iran, Islamic Republic of	1171.0	35.55	53.383	Mon Apr 05 23:55:00 PDT 2004	12.0	2.0	50	BEYOND	10000.0	S	180	3.0	3.0
OIKB	Bandarabbass		Iran, Islamic Republic of	10.0	27.217	56.367	Tue Apr 06 08:50:00 PDT 2004	27.0	19.0	61	AT	3500.0	SW	230	8.0	8.0
OICS	Sanandaj		Iran, Islamic Republic of	1373.0	35.333	47.0	Tue Apr 06 00:00:00 PDT 2004	7.0	-5.0	42	BEYOND	10000.0	N	0	0.0	0.0
OIAI	Masjed-Soleyman		Iran, Islamic Republic of	372.0	31.983	49.267	Mon Apr 05 23:50:00 PDT 2004	18.0	3.0	36	BEYOND	10000.0	NNW	330	5.0	5.0
OIKK	Kerman		Iran, Islamic Republic of	1748.0	30.25	56.967	Tue Apr 06 08:50:00 PDT 2004	18.0	-8.0	16	BEYOND	10000.0	WNW	290	2.0	2.0
OIMN	Bojnourd		Iran, Islamic Republic of	1074.0	37.467	57.333	Mon Apr 05 23:50:00 PDT 2004	4.0	1.0	81	BEYOND	10000.0	N	0	0.0	0.0
EIDW	Dublin Airport		Ireland	68.0	53.433	-6.25	Tue Apr 06 09:30:00 PDT 2004	10.0	1.0	53	BEYOND	10000.0	NNW	340	10.803333333333335	18.520000000000003
EIKN	Connaught		Ireland	203.0	53.91	-8.818	Tue Apr 06 09:30:00 PDT 2004	8.0	2.0	66	BEYOND	10000.0	NNW	330	13.375555555555557	13.375555555555557
EINN	Shannon Airport		Ireland	14.0	52.7	-8.917	Tue Apr 06 09:30:00 PDT 2004	11.0	1.0	50	BEYOND	10000.0	NNW	330	10.28888888888889	10.28888888888889
EICK	Cork Airport		Ireland	153.0	51.85	-8.483	Tue Apr 06 09:30:00 PDT 2004	10.0	1.0	53	BEYOND	10000.0	NNW	330	10.28888888888889	17.491111111111113
LLBG	Ben-Gurion International Airport		Israel	40.0	32.0	34.9	Tue Apr 06 08:50:00 PDT 2004	17.0	11.0	67	BEYOND	10000.0	WNW	300	3.6011111111111114	3.6011111111111114
LLET	Eilat		Israel	12.0	29.55	34.95	Tue Apr 06 08:50:00 PDT 2004	25.0	2.0	22	BEYOND	10000.0	N	350	5.658888888888889	5.658888888888889
LLOV	Ovda		Israel	432.0	30.0	34.833	Tue Apr 06 08:50:00 PDT 2004	18.0	6.0	45	BEYOND	10000.0	NW	320	4.115555555555556	4.115555555555556
LLIB	Galilee / Pina		Israel	NaN	32.98	35.57	Tue Apr 06 08:50:00 PDT 2004	19.0	6.0	42	BEYOND	10000.0	N	0	3.086666666666667	3.086666666666667
LIRZ	Perugia		Italy	208.0	43.083	12.5	Tue Apr 06 09:00:00 PDT 2004	14.0	8.0	67	BEYOND	10000.0	S	180	8.745555555555557	8.745555555555557
LIME	Bergamo / Orio Al Serio		Italy	238.0	45.667	9.7	Tue Apr 06 09:20:00 PDT 2004	16.0	-1.0	31	BEYOND	10000.0	WSW	250	3.6011111111111114	3.6011111111111114
LIMH	Pian Rosa		Italy	3480.0	45.933	7.7	Tue Apr 06 08:55:00 PDT 2004	-10.0	-10.0	100	AT	1500.0	NNW	330	3.6011111111111114	3.6011111111111114
LIRH	Frosinone		Italy	180.0	41.633	13.3	Tue Apr 06 08:55:00 PDT 2004	14.0	7.0	62	BEYOND	10000.0	WNW	300	1.028888888888889	1.028888888888889
LIPZ	Venezia / Tessera		Italy	2.0	45.5	12.333	Tue Apr 06 08:50:00 PDT 2004	14.0	8.0	67	BEYOND	10000.0	NNE	30	2.5722222222222224	2.5722222222222224
LIMJ	Genova / Sestri		Italy	2.0	44.417	8.85	Tue Apr 06 09:20:00 PDT 2004	14.0	10.0	77	BEYOND	10000.0	ESE	120	5.658888888888889	5.658888888888889
LIEE	Cagliari / Elmas		Italy	4.0	39.25	9.067	Tue Apr 06 09:15:00 PDT 2004	19.0	7.0	45	BEYOND	10000.0	WNW	300	5.658888888888889	5.658888888888889
LIRU	Roma / Urbe		Italy	18.0	41.95	12.5	Tue Apr 06 08:50:00 PDT 2004	15.0	6.0	54	BEYOND	10000.0	SW	220	6.173333333333334	11.832222222222223
LIBQ	Monte Scuro		Italy	1710.0	39.333	16.4	Tue Apr 06 07:55:00 PDT 2004	3.0	3.0	100	AT	0.0	W	280	6.173333333333334	12.346666666666668
LIVC	Monte Cimone		Italy	2165.0	44.2	10.7	Tue Apr 06 08:55:00 PDT 2004	-2.0	-2.0	100	AT	0.0	SW	220	11.317777777777778	11.317777777777778
LICZ	Catania / Sigonella		Italy	22.0	37.4	14.917	Tue Apr 06 08:55:00 PDT 2004	19.0	9.0	52	BEYOND	10000.0	WSW	240	8.231111111111112	8.231111111111112
LIVO	Tarvisio		Italy	777.0	46.5	13.583	Tue Apr 06 08:55:00 PDT 2004	4.0	3.0	93	AT	7000.0	SSW	200	1.028888888888889	1.028888888888889
LIYW	Aviano Usaf		Italy	126.0	46.033	12.617	Tue Apr 06 09:01:00 PDT 2004	9.0	9.0	100	BEYOND	10000.0	NE	40	3.086666666666667	3.086666666666667
LIPK	Forli		Italy	27.0	44.2	12.067	Tue Apr 06 08:50:00 PDT 2004	17.0	2.0	36	BEYOND	10000.0	SW	230	9.774444444444445	17.491111111111113
LIRT	Trevico		Italy	1085.0	41.05	15.233	Mon Apr 05 20:55:00 PDT 2004	5.0	4.0	93	BEYOND	10000.0	W	270	11.317777777777778	11.317777777777778
LIRK	Monte Terminillo		Italy	1874.0	42.467	12.983	Tue Apr 06 07:55:00 PDT 2004	-1.0	-3.0	86	AT	0.0	WSW	240	12.346666666666668	12.346666666666668
LICA	Lamezia Terme		Italy	15.0	38.9	16.25	Tue Apr 06 08:50:00 PDT 2004	15.0	14.0	94	BEYOND	10000.0	W	270	3.086666666666667	3.086666666666667
LIMN	Novara / Cameri		Italy	178.0	45.517	8.667	Tue Apr 06 08:55:00 PDT 2004	16.0	0.0	33	AT	8000.0	NNE	30	3.086666666666667	3.086666666666667
LIPH	Treviso / S. Angelo		Italy	18.0	45.65	12.183	Tue Apr 06 09:15:00 PDT 2004	13.0	9.0	76	AT	7000.0	 	0	0	0
LIPO	Brescia / Montichia		Italy	104.0	45.401	10.316	Tue Apr 06 08:50:00 PDT 2004	14.0	9.0	71	AT	7000.0	ENE	60	2.057777777777778	2.057777777777778
LIML	Milano / Linate		Italy	107.0	45.433	9.283	Tue Apr 06 09:20:00 PDT 2004	18.0	8.0	51	BEYOND	10000.0	N	359	1.028888888888889	1.028888888888889
LIRV	Viterbo		Italy	300.0	42.433	12.05	Tue Apr 06 08:55:00 PDT 2004	12.0	9.0	82	BEYOND	10000.0	S	190	7.202222222222223	7.202222222222223
LIEO	Olbia / Costa Smeralda		Italy	11.0	40.9	9.517	Tue Apr 06 08:50:00 PDT 2004	17.0	4.0	42	BEYOND	10000.0	W	260	7.202222222222223	7.202222222222223
LIRP	Pisa / S. Giusto		Italy	2.0	43.683	10.383	Tue Apr 06 09:15:00 PDT 2004	14.0	9.0	71	BEYOND	10000.0	WSW	250	9.774444444444445	9.774444444444445
LICC	Catania / Fontanarossa		Italy	11.0	37.467	15.05	Tue Apr 06 09:20:00 PDT 2004	19.0	8.0	48	BEYOND	10000.0	W	260	5.658888888888889	5.658888888888889
LICT	Trapani / Birgi		Italy	7.0	37.917	12.5	Tue Apr 06 08:55:00 PDT 2004	17.0	14.0	82	BEYOND	10000.0	SW	220	5.144444444444445	5.144444444444445
LIED	Decimomannu		Italy	29.0	39.35	8.967	Tue Apr 06 08:55:00 PDT 2004	17.0	7.0	51	BEYOND	10000.0	WNW	290	7.202222222222223	7.202222222222223
